Fav,Pos,Bib No,Name,Time,Country,Swim,T1,Run,Category
,1,475,YUSUKE TOMOFUJI ,01:31:27,JPN,00:37:22,00:03:42,00:50:21,StandardAquathlon4049M
,2,476,SING CHIEW LU ,01:35:56,MAS,00:32:21,00:05:52,00:57:42,StandardAquathlon4049M
,3,478,MUHAMMAD YUSRI NAGHENDREN ABDULLAH ,01:39:16,MAS,00:35:47,00:04:42,00:58:46,StandardAquathlon4049M
,4,477,RUSYDI DAUD ,01:46:13,BRU,00:38:43,00:06:13,01:01:17,StandardAquathlon4049M
,5,479,JASMAN HARIS ,01:48:37,MAS,00:35:31,00:08:19,01:04:47,StandardAquathlon4049M
